gene,panel,syndromic,RG_shift,IPC_shift,direction_pattern,absolute_difference
RAB7A,non_ASD,,-8.414127509291328e-06,-6.038310198948301e-06,consistent_away,2.375817310343027e-06
RAB1A,non_ASD,,5.476908068760755e-05,-3.96552478968029e-05,opposite_direction,9.442432858441046e-05
LARS1,non_ASD,,-8.188688558619587e-05,-5.546269508508536e-05,consistent_away,2.642419050111051e-05
CAPZB,non_ASD,,-1.874055721291024e-05,-8.24069572707354e-05,consistent_away,6.366640005782516e-05
MTF2,non_ASD,,2.5324949913153343e-06,-9.549657503763836e-05,opposite_direction,9.80290700289537e-05
ASB3,non_ASD,,8.347258786925601e-08,-2.198378870806356e-05,opposite_direction,2.2067261295932815e-05
DGUOK,non_ASD,,-3.922363782577284e-05,-6.390953459680328e-05,consistent_away,2.468589677103044e-05
PFN2,non_ASD,,-2.7226929617400216e-05,-7.614208028671589e-05,consistent_away,4.8915150669315676e-05
ZCCHC17,non_ASD,,-7.10734827765103e-05,-9.470068393869604e-05,consistent_away,2.362720116218574e-05
ZNF721,non_ASD,,2.395588418711787e-06,-3.517653260912214e-05,opposite_direction,3.7572121027833926e-05
ETNK1,non_ASD,,1.6386761809840349e-06,-4.3701360569918216e-05,opposite_direction,4.534003675090225e-05
PPP4R2,non_ASD,,-9.062448866131364e-06,-3.643873997650813e-05,consistent_away,2.737629111037676e-05
YAF2,non_ASD,,-2.09808349609375e-05,-1.7526438417990647e-05,consistent_away,3.454396542946853e-06
MARCHF1,non_ASD,,8.693875336065524e-05,-3.309885080713425e-05,opposite_direction,0.0001200376041677895
PDGFC,non_ASD,,2.2683985471082822e-05,5.956490834554037e-05,consistent_towards,3.6880922874457544e-05
MIER1,non_ASD,,-4.958853065243617e-05,7.683343260827725e-06,opposite_direction,5.72718739132639e-05
NIFK,non_ASD,,-4.503537561291846e-05,-1.8250031076419124e-05,consistent_away,2.6785344536499335e-05
KLHL24,non_ASD,,8.00827644049485e-05,2.8458647072886505e-05,consistent_towards,5.1624117332062e-05
USP1,non_ASD,,1.2596608167682856e-05,2.6943459027055383e-05,consistent_towards,1.4346850859372526e-05
MAP3K2,non_ASD,,4.8185096067540784e-05,-9.941265863530776e-06,opposite_direction,5.812636193107156e-05
UBE4B,non_ASD,,0.0001138592103742,-7.27944767352232e-05,opposite_direction,0.0001866536871094232
DMRTA2,non_ASD,,4.320561069331757e-05,-9.059700472601527e-05,opposite_direction,0.00013380261541933285
ATF6,non_ASD,,9.250839551289875e-06,-8.642532694058155e-05,opposite_direction,9.567616649187143e-05
KIAA0319L,non_ASD,,8.480627127368041e-05,3.363743220290093e-05,consistent_towards,5.1168839070779486e-05
