gene,ensembl_id,panel,sfari_score,syndromic,CTRL_RG_detected_cells,CTRL_RG_detection_percentage,CTRL_IPC_detected_cells,CTRL_IPC_detection_percentage,CTRL_Young_dExN_detected_cells,CTRL_Young_dExN_detection_percentage,Shift_to_goal_end,direction
PPP4R2,ENSG00000163605,non_ASD,,,879,72.64462809917356,321,70.24070021881839,921,69.87860394537178,-3.643873997650813e-05,away_from_VPA
YY1,ENSG00000100811,ASD,1.0,1.0,979,80.9090909090909,361,78.99343544857769,1102,83.61153262518968,-3.652964065324015e-05,away_from_VPA
DDX3X,ENSG00000215301,ASD,1.0,1.0,851,70.3305785123967,316,69.14660831509846,923,70.03034901365706,-3.722779036778484e-05,away_from_VPA
DNMT3A,ENSG00000119772,ASD,1.0,1.0,628,51.900826446281,210,45.951859956236326,703,53.338391502276174,-3.749253798504265e-05,away_from_VPA
PHACTR4,ENSG00000204138,non_ASD,,,1046,86.44628099173553,416,91.02844638949672,1160,88.01213960546282,-3.850768352377004e-05,away_from_VPA
FOXP1,ENSG00000114861,ASD,1.0,1.0,1189,98.26446280991736,339,74.17943107221006,979,74.27921092564492,-3.852995719698912e-05,away_from_VPA
TBL1XR1,ENSG00000177565,ASD,1.0,0.0,1134,93.7190082644628,422,92.34135667396062,1210,91.80576631259484,-3.960577409658859e-05,away_from_VPA
RAB1A,ENSG00000138069,non_ASD,,,1012,83.63636363636363,393,85.99562363238512,1176,89.22610015174507,-3.96552478968029e-05,away_from_VPA
PTN,ENSG00000105894,non_ASD,,,1060,87.60330578512396,203,44.42013129102845,475,36.03945371775417,-4.002253214518229e-05,away_from_VPA
SRSF10,ENSG00000188529,non_ASD,,,1161,95.9504132231405,434,94.9671772428884,1213,92.03338391502275,-4.183312309006176e-05,away_from_VPA
UQCRQ,ENSG00000164405,non_ASD,,,1113,91.98347107438016,431,94.31072210065643,1274,96.66160849772383,-4.2985560316028014e-05,away_from_VPA
ETNK1,ENSG00000139163,non_ASD,,,902,74.54545454545455,308,67.39606126914661,952,72.23065250379362,-4.3701360569918216e-05,away_from_VPA
BBX,ENSG00000114439,non_ASD,,,1087,89.83471074380165,413,90.37199124726476,926,70.25796661608497,-4.426884440194189e-05,away_from_VPA
BRK1,ENSG00000254999,non_ASD,,,1109,91.65289256198346,423,92.5601750547046,1238,93.93019726858876,-4.501757046855088e-05,away_from_VPA
SMARCA4,ENSG00000127616,ASD,1.0,0.0,997,82.39669421487604,418,91.46608315098467,1252,94.99241274658574,-4.631916452897042e-05,away_from_VPA
IRF2BPL,ENSG00000119669,ASD,1.0,1.0,617,50.99173553719008,165,36.10503282275711,821,62.29135053110774,-4.793054018265162e-05,away_from_VPA
CREBBP,ENSG00000005339,ASD,1.0,1.0,955,78.92561983471074,368,80.52516411378556,1027,77.92109256449166,-5.184813133348221e-05,away_from_VPA
UPF3B,ENSG00000125351,ASD,1.0,1.0,748,61.81818181818182,300,65.64551422319475,920,69.80273141122913,-5.190228132923623e-05,away_from_VPA
DDX24,ENSG00000089737,non_ASD,,,1082,89.42148760330578,436,95.40481400437638,1281,97.1927162367223,-5.5206298828125e-05,away_from_VPA
LARS1,ENSG00000133706,non_ASD,,,1003,82.89256198347107,311,68.05251641137856,993,75.34142640364189,-5.546269508508536e-05,away_from_VPA
TAOK1,ENSG00000160551,ASD,1.0,1.0,1012,83.63636363636364,411,89.93435448577681,1206,91.50227617602428,-5.854620282345406e-05,away_from_VPA
PKM,ENSG00000067225,non_ASD,,,1196,98.84297520661156,427,93.43544857768052,1184,89.83308042488619,-5.875472669248228e-05,away_from_VPA
DPYSL2,ENSG00000092964,ASD,1.0,0.0,1167,96.44628099173552,453,99.12472647702408,1305,99.01365705614568,-6.147758606223949e-05,away_from_VPA
DGUOK,ENSG00000114956,non_ASD,,,967,79.91735537190083,355,77.68052516411379,1091,82.77693474962064,-6.390953459680328e-05,away_from_VPA
SNRPE,ENSG00000182004,non_ASD,,,1182,97.68595041322314,444,97.15536105032822,1275,96.73748103186648,-6.464621748785125e-05,away_from_VPA
YWHAQ,ENSG00000134308,non_ASD,,,1192,98.51239669421489,455,99.56236323851203,1316,99.84825493171472,-6.671893403932074e-05,away_from_VPA
UBE4B,ENSG00000130939,non_ASD,,,717,59.25619834710744,285,62.36323851203501,870,66.00910470409713,-7.27944767352232e-05,away_from_VPA
SEC61G,ENSG00000132432,non_ASD,,,1167,96.44628099173552,446,97.5929978118162,1285,97.49620637329286,-7.28060349063004e-05,away_from_VPA
PFN2,ENSG00000070087,non_ASD,,,959,79.25619834710744,333,72.86652078774617,954,72.3823975720789,-7.614208028671589e-05,away_from_VPA
COX7A2,ENSG00000112695,non_ASD,,,1189,98.26446280991736,456,99.78118161925602,1316,99.84825493171472,-7.915059222450739e-05,away_from_VPA
SRP9,ENSG00000143742,non_ASD,,,1166,96.36363636363636,440,96.2800875273523,1292,98.02731411229136,-8.020251989364624e-05,away_from_VPA
LSM7,ENSG00000130332,non_ASD,,,1111,91.81818181818184,420,91.90371991247264,1184,89.83308042488619,-8.180562187643612e-05,away_from_VPA
CAPZB,ENSG00000077549,non_ASD,,,997,82.39669421487604,367,80.30634573304157,1123,85.20485584218514,-8.24069572707354e-05,away_from_VPA
ATF6,ENSG00000118217,non_ASD,,,628,51.90082644628099,231,50.54704595185996,691,52.42792109256449,-8.642532694058155e-05,away_from_VPA
CAMLG,ENSG00000164615,non_ASD,,,1088,89.91735537190083,392,85.77680525164114,1159,87.93626707132019,-8.831902982431873e-05,away_from_VPA
PARK7,ENSG00000116288,non_ASD,,,1174,97.02479338842976,446,97.5929978118162,1279,97.04097116843704,-8.999137483404938e-05,away_from_VPA
DMRTA2,ENSG00000142700,non_ASD,,,705,58.26446280991735,253,55.36105032822757,294,22.306525037936268,-9.059700472601527e-05,away_from_VPA
ZCCHC17,ENSG00000121766,non_ASD,,,956,79.00826446280992,277,60.61269146608315,1016,77.08649468892261,-9.470068393869604e-05,away_from_VPA
MTF2,ENSG00000143033,non_ASD,,,980,80.99173553719008,400,87.527352297593,1190,90.28831562974204,-9.549657503763836e-05,away_from_VPA
ABCE1,ENSG00000164163,ASD,1.0,0.0,717,59.25619834710744,207,45.29540481400438,685,51.97268588770865,-0.000104217727979,away_from_VPA
COX8A,ENSG00000176340,non_ASD,,,1075,88.84297520661157,404,88.40262582056893,1230,93.32321699544764,-0.0001074797094124,away_from_VPA
SMARCA1,ENSG00000102038,ASD,1.0,0.0,811,67.02479338842976,223,48.796498905908095,605,45.90288315629742,-0.0001147731145222,away_from_VPA
KAZN,ENSG00000189337,non_ASD,,,1194,98.67768595041322,396,86.65207877461707,1260,95.59939301972686,-0.0001224222637358,away_from_VPA
NSD1,ENSG00000165671,ASD,1.0,1.0,741,61.239669421487605,263,57.5492341356674,837,63.50531107738998,-0.0001287503208187,away_from_VPA
SNRPG,ENSG00000143977,non_ASD,,,1118,92.39669421487604,401,87.74617067833698,1157,87.78452200303491,-0.0001408685930073,away_from_VPA
ARX,ENSG00000004848,ASD,1.0,1.0,980,80.99173553719008,168,36.76148796498906,56,4.24886191198786,-0.0001838353215431,away_from_VPA
ASTN1,ENSG00000152092,ASD,1.0,0.0,705,58.26446280991736,209,45.73304157549234,905,68.66464339908953,-0.0002955868840217,away_from_VPA
