gene,ensembl_id,panel,sfari_score,syndromic,CTRL_RG_detected_cells,CTRL_RG_detection_percentage,CTRL_IPC_detected_cells,CTRL_IPC_detection_percentage,CTRL_Young_dExN_detected_cells,CTRL_Young_dExN_detection_percentage,Shift_to_goal_end,direction
KMT2C,ENSG00000055609,ASD,1.0,1.0,1196,98.84297520661156,454,99.34354485776804,1292,98.02731411229136,-1.3203913224611248e-05,away_from_VPA
ANKRD11,ENSG00000167522,ASD,1.0,1.0,1088,89.91735537190083,441,96.49890590809628,1253,95.06828528072838,-1.352373758951823e-05,away_from_VPA
MYCBP2,ENSG00000005810,ASD,1.0,0.0,1051,86.85950413223141,393,85.99562363238512,1215,92.18512898330803,-1.427384137671434e-05,away_from_VPA
VEZF1,ENSG00000136451,ASD,1.0,0.0,757,62.56198347107438,297,64.9890590809628,749,56.82852807283764,-1.6088372674481623e-05,away_from_VPA
TBL1XR1,ENSG00000177565,ASD,1.0,0.0,1134,93.7190082644628,422,92.34135667396062,1210,91.80576631259484,-1.67634543471449e-05,away_from_VPA
CAPZB,ENSG00000077549,non_ASD,,,997,82.39669421487604,367,80.30634573304157,1123,85.20485584218514,-1.874055721291024e-05,away_from_VPA
ARX,ENSG00000004848,ASD,1.0,1.0,980,80.99173553719008,168,36.76148796498906,56,4.24886191198786,-2.018050398937492e-05,away_from_VPA
YAF2,ENSG00000015153,non_ASD,,,871,71.98347107438016,328,71.77242888402627,913,69.27162367223065,-2.09808349609375e-05,away_from_VPA
KCNQ3,ENSG00000184156,ASD,1.0,0.0,959,79.25619834710744,440,96.2800875273523,1294,98.17905918057664,-2.407637711997344e-05,away_from_VPA
SRSF4,ENSG00000116350,non_ASD,,,1126,93.05785123966942,406,88.8402625820569,1155,87.63277693474963,-2.4537181134105628e-05,away_from_VPA
ABCE1,ENSG00000164163,ASD,1.0,0.0,717,59.25619834710744,207,45.29540481400438,685,51.97268588770865,-2.693418246596607e-05,away_from_VPA
