gene,ensembl_id,sfari_score,syndromic,CTRL_RG_detected_cells,CTRL_RG_detection_percentage,CTRL_IPC_detected_cells,CTRL_IPC_detection_percentage,CTRL_Young_dExN_detected_cells,CTRL_Young_dExN_detection_percentage
HDLBP,ENSG00000115677,1,0,851,70.3305785123967,249,54.48577680525164,807,61.229135053110774
HECTD4,ENSG00000173064,1,0,836,69.0909090909091,404,88.40262582056893,1269,96.28224582701063
HIVEP2,ENSG00000010818,1,1,89,7.355371900826446,16,3.50109409190372,303,22.98937784522003
HNRNPH2,ENSG00000126945,1,0,676,55.86776859504132,229,50.10940919037199,802,60.849772382397575
HNRNPU,ENSG00000153187,1,1,1166,96.36363636363636,446,97.59299781181619,1274,96.66160849772382
HRAS,ENSG00000174775,1,0,378,31.239669421487605,175,38.29321663019694,644,48.861911987860395
IQSEC2,ENSG00000124313,1,1,75,6.198347107438017,9,1.9693654266958425,171,12.974203338391503
IRF2BPL,ENSG00000119669,1,1,617,50.99173553719008,165,36.10503282275711,821,62.29135053110774
KANSL1,ENSG00000120071,1,1,1133,93.63636363636364,435,95.18599562363238,1240,94.08194233687405
KATNAL2,ENSG00000167216,1,0,122,10.082644628099173,21,4.595185995623632,134,10.166919575113809
KCNB1,ENSG00000158445,1,1,232,19.173553719008265,35,7.658643326039387,326,24.734446130500757
KCNQ2,ENSG00000075043,1,0,497,41.074380165289256,332,72.64770240700219,891,67.60242792109257
KCNQ3,ENSG00000184156,1,0,959,79.25619834710744,440,96.2800875273523,1294,98.17905918057663
KDM2B,ENSG00000089094,1,0,502,41.48760330578512,158,34.57330415754923,616,46.737481031866466
KDM3B,ENSG00000120733,1,1,755,62.396694214876035,246,53.82932166301969,791,60.01517450682853
KDM5B,ENSG00000117139,1,0,1118,92.39669421487604,450,98.46827133479212,1303,98.8619119878604
KDM5C,ENSG00000126012,1,0,304,25.123966942148762,127,27.789934354485776,428,32.47344461305008
KDM6B,ENSG00000132510,1,0,411,33.96694214876033,328,71.77242888402625,1059,80.34901365705615
KIAA0232,ENSG00000170871,1,0,976,80.66115702479338,389,85.12035010940919,1195,90.66767830045524
KLHL20,ENSG00000076321,1,0,677,55.950413223140494,225,49.23413566739606,795,60.31866464339909
KMT2A,ENSG00000118058,1,1,1033,85.37190082644628,403,88.18380743982495,1192,90.44006069802731
KMT2C,ENSG00000055609,1,1,1196,98.84297520661157,454,99.34354485776805,1292,98.02731411229135
KMT2E,ENSG00000005483,1,1,1143,94.46280991735537,440,96.2800875273523,1284,97.42033383915023
KMT5B,ENSG00000110066,1,0,1003,82.89256198347107,395,86.43326039387308,1174,89.07435508345979
LDB1,ENSG00000198728,1,0,273,22.56198347107438,183,40.0437636761488,511,38.770864946889226
LRRC4C,ENSG00000148948,1,0,420,34.710743801652896,33,7.2210065645514225,67,5.0834597875569045
LZTR1,ENSG00000099949,1,0,101,8.347107438016529,33,7.2210065645514225,159,12.063732928679817
MAGEC3,ENSG00000165509,1,0,17,1.4049586776859504,4,0.87527352297593,17,1.289833080424886
MAGEL2,ENSG00000254585,1,1,185,15.289256198347108,24,5.25164113785558,30,2.276176024279211
MAP1A,ENSG00000166963,1,0,240,19.834710743801654,214,46.82713347921226,669,50.758725341426405
MBD5,ENSG00000204406,1,1,1182,97.68595041322314,453,99.12472647702407,1296,98.33080424886191
MBOAT7,ENSG00000125505,1,1,378,31.239669421487605,87,19.037199124726477,325,24.658573596358117
MECP2,ENSG00000169057,1,1,706,58.34710743801653,256,56.01750547045952,801,60.773899848254935
MED13,ENSG00000108510,1,1,949,78.4297520661157,377,82.4945295404814,1027,77.92109256449166
MED13L,ENSG00000123066,1,1,1158,95.70247933884298,447,97.81181619256017,1291,97.9514415781487
MEF2C,ENSG00000081189,1,1,616,50.90909090909091,92,20.13129102844639,468,35.50834597875569
MEIS2,ENSG00000134138,1,1,1198,99.00826446280992,446,97.59299781181619,1287,97.64795144157814
MKX,ENSG00000150051,1,0,4,0.3305785123966942,0,0.0,4,0.30349013657056145
MSL3,ENSG00000005302,1,1,182,15.041322314049587,54,11.816192560175054,338,25.644916540212442
MTOR,ENSG00000198793,1,1,428,35.37190082644628,171,37.41794310722101,594,45.068285280728375
MYCBP2,ENSG00000005810,1,0,1051,86.85950413223141,393,85.99562363238512,1215,92.18512898330805
MYT1L,ENSG00000186487,1,0,317,26.198347107438018,324,70.89715536105032,1312,99.54476479514416
NAA15,ENSG00000164134,1,1,960,79.33884297520662,319,69.80306345733041,976,74.05159332321699
NACC1,ENSG00000160877,1,1,166,13.71900826446281,55,12.035010940919037,198,15.022761760242792
NBEA,ENSG00000172915,1,1,1082,89.42148760330579,436,95.40481400437636,1311,99.46889226100151
