gene,ensembl_id,CTRL_RG_detected_cells,CTRL_RG_detection_percentage,CTRL_IPC_detected_cells,CTRL_IPC_detection_percentage,CTRL_Young_detected_cells,CTRL_Young_detection_percentage
MAP2K6,ENSG00000108984,730,60.33057851239669,132,28.88402625820569,583,44.23368740515933
SOX9,ENSG00000125398,1093,90.3305785123967,143,31.291028446389497,279,21.16843702579666
LINC00511,ENSG00000227036,1109,91.65289256198346,328,71.77242888402627,746,56.600910470409715
SDK2,ENSG00000069188,969,80.08264462809917,144,31.50984682713348,101,7.663125948406677
RPL38,ENSG00000172809,1210,100.0,457,100.0,1318,100.0
ATP5PD,ENSG00000167863,1023,84.54545454545455,360,78.7746170678337,1149,87.17754172989378
NT5C,ENSG00000125458,650,53.71900826446281,168,36.76148796498906,231,17.526555386949923
JPT1,ENSG00000189159,1199,99.0909090909091,457,100.0,1318,100.0
SUMO2,ENSG00000188612,1208,99.83471074380165,457,100.0,1318,100.0
MRPS7,ENSG00000125445,734,60.66115702479339,236,51.64113785557986,702,53.262518968133534
GRB2,ENSG00000177885,609,50.3305785123967,285,62.36323851203501,1011,76.7071320182094
SAP30BP,ENSG00000161526,612,50.57851239669422,208,45.51422319474836,554,42.03338391502276
PRPSAP1,ENSG00000161542,624,51.570247933884296,159,34.79212253829322,502,38.08801213960547
SNHG16,ENSG00000163597,1015,83.88429752066115,294,64.33260393873084,822,62.36722306525038
SRSF2,ENSG00000161547,952,78.67768595041322,343,75.054704595186,946,71.77541729893778
SEPTIN9,ENSG00000184640,774,63.96694214876033,245,53.610503282275715,658,49.92412746585736
TBC1D16,ENSG00000167291,649,53.63636363636364,346,75.71115973741794,827,62.74658573596358
EIF4A3,ENSG00000141543,800,66.11570247933885,264,57.76805251641138,858,65.09863429438543
RPTOR,ENSG00000141564,693,57.27272727272727,240,52.516411378555794,777,58.952959028831565
NDUFAF8,ENSG00000224877,669,55.289256198347104,176,38.51203501094092,464,35.204855842185125
ACTG1,ENSG00000184009,1210,100.0,457,100.0,1318,100.0
MCRIP1,ENSG00000225663,740,61.15702479338842,266,58.20568927789934,919,69.7268588770865
P4HB,ENSG00000185624,811,67.02479338842974,242,52.95404814004377,716,54.3247344461305
ANAPC11,ENSG00000141552,1113,91.98347107438016,393,85.99562363238512,1203,91.27465857359635
DCXR,ENSG00000169738,678,56.03305785123966,170,37.199124726477024,479,36.34294385432473
NARF,ENSG00000141562,761,62.892561983471076,350,76.58643326039387,1104,83.76327769347496
FOXK2,ENSG00000141568,779,64.3801652892562,296,64.77024070021882,918,69.65098634294385
WDR45B,ENSG00000141580,774,63.96694214876033,251,54.92341356673961,739,56.06980273141124
TBCD,ENSG00000141556,620,51.2396694214876,164,35.886214442013134,479,36.34294385432473
USP14,ENSG00000101557,851,70.33057851239668,325,71.11597374179432,930,70.56145675265554
THOC1,ENSG00000079134,828,68.4297520661157,277,60.61269146608315,813,61.68437025796661
YES1,ENSG00000176105,653,53.96694214876033,210,45.951859956236326,442,33.53566009104704
